Domain,Type,Sponsoring Organisation,Date
.hosting,generic,"Uniregistry, Corp.",2024-02-19
.house,generic,"Sugar Park, LLC",2024-02-19
.how,generic,Charleston Road Registry Inc.,2024-02-19
.ibm,generic,International Business Machines Corporation,2024-02-19
.ifm,generic,ifm electronic gmbh,2024-02-19
.immo,generic,"Auburn Bloom, LLC",2024-02-19
.immobilien,generic,United TLD Holdco Ltd.,2024-02-19
.industries,generic,"Outer House, LLC",2024-02-19
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2024-02-19
.info,generic,Afilias Limited,2024-02-19
.ing,generic,Charleston Road Registry Inc.,2024-02-19
.ink,generic,"Top Level Design, LLC",2024-02-19
.institute,generic,"Outer Maple, LLC",2024-02-19
.insure,generic,"Pioneer Willow, LLC",2024-02-19
.international,generic,"Wild Way, LLC",2024-02-19
.investments,generic,"Holly Glen, LLC",2024-02-19
.irish,generic,Dot-Irish LLC,2024-02-19
.iwc,generic,Richemont DNS Inc.,2024-02-19
.java,generic,Oracle Corporation,2024-02-19
.jcb,generic,"JCB Co., Ltd.",2024-02-19
.jetzt,generic,New TLD Company AB,2024-02-19
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2024-02-19
.juegos,generic,"Uniregistry, Corp.",2024-02-19
.kaufen,generic,United TLD Holdco Ltd.,2024-02-19
.kddi,generic,KDDI CORPORATION,2024-02-19
.kim,generic,Afilias Limited,2024-02-19
.kitchen,generic,"Just Goodbye, LLC",2024-02-19
.kiwi,generic,DOT KIWI LIMITED,2024-02-19
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2024-02-19
.komatsu,generic,Komatsu Ltd.,2024-02-19
.krd,generic,KRG Department of Information Technology,2024-02-19
.kred,generic,KredTLD Pty Ltd,2024-02-19
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2024-02-19
.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,2024-02-19
.land,generic,"Pine Moon, LLC",2024-02-19
.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,2024-02-19
.latrobe,generic,La Trobe University,2024-02-19
.lawyer,generic,"United TLD Holdco, Ltd",2024-02-19
.lds,generic,"IRI Domain Management, LLC",2024-02-19
.lease,generic,"Victor Trail, LLC",2024-02-19
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2024-02-19
.legal,generic,"Blue Falls, LLC",2024-02-19
.lgbt,generic,Afilias Limited,2024-02-19
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2024-02-19
.life,generic,"Trixy Oaks, LLC",2024-02-19
.lighting,generic,"John McCook, LLC",2024-02-19
.limited,generic,"Big Fest, LLC",2024-02-19
.limo,generic,"Hidden Frostbite, LLC",2024-02-19
.link,generic,"Uniregistry, Corp.",2024-02-19
.loan,generic,dot Loan Limited,2024-02-19
.loans,generic,"June Woods, LLC",2024-02-19
.london,generic,Dot London Domains Limited,2024-02-19
.lotte,generic,"Lotte Holdings Co., Ltd.",2024-02-19
.lotto,generic,Afilias Limited,2024-02-19
.love,generic,Merchant Law Group LLP,2024-02-19
.ltda,generic,InterNetX Corp.,2024-02-19
.luxe,generic,Top Level Domain Holdings Limited,2024-02-19
.luxury,generic,Luxury Partners LLC,2024-02-19
.madrid,generic,Comunidad de Madrid,2024-02-19
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2024-02-19
.maison,generic,"Victor Frostbite, LLC",2024-02-19
.management,generic,"John Goodbye, LLC",2024-02-19
.mango,generic,PUNTO FA S.L.,2024-02-19
.market,generic,"Unitied TLD Holdco, Ltd",2024-02-19
.marketing,generic,"Fern Pass, LLC",2024-02-19
.markets,generic,DOTMARKETS REGISTRY LTD,2024-02-19
.marriott,generic,Marriott Worldwide Corporation,2024-02-19
.media,generic,"Grand Glen, LLC",2024-02-19
.meet,generic,Afilias Limited,2024-02-19
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2024-02-19
.meme,generic,Charleston Road Registry Inc.,2024-02-19
.memorial,generic,"Dog Beach, LLC",2024-02-19
.menu,generic,"Wedding TLD2, LLC",2024-02-19
.miami,generic,Top Level Domain Holdings Limited,2024-02-19
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2024-02-19
.mma,generic,MMA IARD,2024-02-19
.moda,generic,United TLD Holdco Ltd.,2024-02-19
.moe,generic,"Interlink Co., Ltd.",2024-02-19
.monash,generic,Monash University,2024-02-19
.money,generic,"Outer McCook, LLC",2024-02-19
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2024-02-19
.mortgage,generic,"United TLD Holdco, Ltd",2024-02-19
