Domain,Type,Sponsoring Organisation,Date
.gmx,generic,1&1 Mail & Media GmbH,2024-02-22
.gold,generic,"June Edge, LLC",2024-02-22
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",2024-02-22
.golf,generic,"Lone Falls, LLC",2024-02-22
.goo,generic,NTT Resonant Inc.,2024-02-22
.goog,generic,Charleston Road Registry Inc.,2024-02-22
.google,generic,Charleston Road Registry Inc.,2024-02-22
.gop,generic,"Republican State Leadership Committee, Inc.",2024-02-22
.graphics,generic,"Over Madison, LLC",2024-02-22
.gratis,generic,"Pioneer Tigers, LLC",2024-02-22
.green,generic,Afilias Limited,2024-02-22
.gripe,generic,"Corn Sunset, LLC",2024-02-22
.guge,generic,Charleston Road Registry Inc.,2024-02-22
.guide,generic,"Snow Moon, LLC",2024-02-22
.guitars,generic,"Uniregistry, Corp.",2024-02-22
.guru,generic,"Pioneer Cypress, LLC",2024-02-22
.hamburg,generic,Hamburg Top-Level-Domain GmbH,2024-02-22
.hangout,generic,Charleston Road Registry Inc.,2024-02-22
.haus,generic,"United TLD Holdco, LTD.",2024-02-22
.healthcare,generic,"Silver Glen, LLC",2024-02-22
.help,generic,"Uniregistry, Corp.",2024-02-22
.here,generic,Charleston Road Registry Inc.,2024-02-22
.hermes,generic,Hermes International,2024-02-22
.hiphop,generic,"Uniregistry, Corp.",2024-02-22
.hiv,generic,dotHIV gemeinnuetziger e.V.,2024-02-22
.holdings,generic,"John Madison, LLC",2024-02-22
.holiday,generic,"Goose Woods, LLC",2024-02-22
.homes,generic,"DERHomes, LLC",2024-02-22
.horse,generic,Top Level Domain Holdings Limited,2024-02-22
.host,generic,DotHost Inc.,2024-02-22
.hosting,generic,"Uniregistry, Corp.",2024-02-22
.house,generic,"Sugar Park, LLC",2024-02-22
.how,generic,Charleston Road Registry Inc.,2024-02-22
.ibm,generic,International Business Machines Corporation,2024-02-22
.ifm,generic,ifm electronic gmbh,2024-02-22
.immo,generic,"Auburn Bloom, LLC",2024-02-22
.immobilien,generic,United TLD Holdco Ltd.,2024-02-22
.industries,generic,"Outer House, LLC",2024-02-22
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2024-02-22
.info,generic,Afilias Limited,2024-02-22
.ing,generic,Charleston Road Registry Inc.,2024-02-22
.ink,generic,"Top Level Design, LLC",2024-02-22
.institute,generic,"Outer Maple, LLC",2024-02-22
.insure,generic,"Pioneer Willow, LLC",2024-02-22
.international,generic,"Wild Way, LLC",2024-02-22
.investments,generic,"Holly Glen, LLC",2024-02-22
.irish,generic,Dot-Irish LLC,2024-02-22
.iwc,generic,Richemont DNS Inc.,2024-02-22
.java,generic,Oracle Corporation,2024-02-22
.jcb,generic,"JCB Co., Ltd.",2024-02-22
.jetzt,generic,New TLD Company AB,2024-02-22
